evid,std_x_km,std_y_km,std_z_km,std_t_s,std_xyz_km,ess_xyzt_min,ess_x,ess_y,ess_z,ess_t,n_samples,degree,ess_rank_hi,std_rank_lo,suspicious_score
776,0.020878652,0.014412638,0.022867477,0.009755,0.034154996,153.7318,153.7318,267.49847,227.29947,200.37672,12602,31,0.017817371937639197,0.3485523385300668,0.00621028665532413
888,0.011503064,0.010155327,0.012571189,0.0059925984,0.01983648,24.750332,29.000498,24.750332,33.724743,305.8105,12602,461,0.6893095768374164,0.008908685968819599,0.006140842555344467
267,0.012111664,0.009095169,0.01372402,0.005888756,0.020439256,50.54775,126.91797,83.0963,50.54775,88.6655,12602,628,0.3084632516703786,0.01893095768374165,0.0058395047643612875
321,0.011569221,0.010197436,0.012355146,0.005489109,0.019760674,24.390093,28.267551,25.756853,34.149784,24.390093,12602,603,0.6937639198218263,0.007795100222717149,0.00540795928591624
422,0.012708036,0.009858795,0.012954165,0.006553702,0.020651888,56.632706,118.80347,133.71677,56.632706,207.18846,12602,634,0.25389755011135856,0.021158129175946547,0.005371997162712486
347,0.012036064,0.011196666,0.017510543,0.007209226,0.024017727,106.706604,296.62738,106.706604,163.41394,108.79332,12602,137,0.06458797327394208,0.08129175946547884,0.005250469987748076
609,0.014409415,0.011666779,0.019878814,0.00773002,0.02718294,133.43074,179.0598,207.56236,133.43074,140.7773,12602,99,0.030066815144766147,0.15701559020044542,0.004720958725403147
788,0.012642725,0.014434017,0.017503005,0.008581066,0.025971802,129.99345,150.29625,129.99345,131.10692,184.97876,12602,91,0.035634743875278395,0.13140311804008908,0.004682516455771548
827,0.013708071,0.014865875,0.0257579,0.006961932,0.032747135,159.19055,194.16606,215.16824,159.19055,189.44864,12602,144,0.014476614699331848,0.3184855233853007,0.004610592209364041
116,0.0124895265,0.010511533,0.01822247,0.0060697333,0.024465056,120.50804,120.50804,176.77364,130.62427,338.6286,12602,464,0.04677060133630289,0.09465478841870824,0.0044270613737035025
641,0.016019346,0.014470469,0.02190698,0.009423329,0.030755969,155.3248,227.49129,234.24019,155.3248,165.14067,12602,51,0.016703786191536747,0.25278396436525613,0.004222449293406282
200,0.011147355,0.0100734895,0.013073966,0.008189569,0.019916508,46.56641,111.78766,103.90665,46.56641,170.58153,12602,429,0.3429844097995545,0.012249443207126948,0.004201368048769598
440,0.012567282,0.015946379,0.01798302,0.00680569,0.027122179,137.80687,221.85217,137.80687,174.24205,159.63522,12602,119,0.025612472160356347,0.155902004454343,0.003993035748830611
134,0.013450498,0.009951247,0.01469474,0.006522957,0.02226833,98.53614,146.06606,153.82281,98.53614,275.58987,12602,491,0.08017817371937638,0.04899777282850779,0.003928551941706638
967,0.01181088,0.009280582,0.012027862,0.0046374886,0.019243065,14.217775,25.960846,19.078587,29.005783,14.217775,12602,678,0.876391982182628,0.004454342984409799,0.003903750477428187
312,0.010945669,0.011080661,0.014862175,0.008636579,0.021528423,85.09339,184.8481,158.94818,85.09339,135.56306,12602,194,0.13140311804008908,0.028953229398663696,0.003804544620314383
231,0.014690144,0.018700877,0.020598335,0.0088416375,0.031461317,160.57764,232.5669,160.57764,208.34554,162.95345,12602,101,0.013363028953229397,0.27394209354120264,0.0036606961274993667
842,0.011501083,0.009266908,0.013247518,0.00594151,0.019840546,45.748997,113.088646,99.762535,45.748997,186.24753,12602,460,0.3530066815144766,0.010022271714922048,0.003537928879321035
322,0.0120375315,0.011705706,0.017009832,0.0074384976,0.023901049,122.11548,193.56676,164.94023,131.3049,122.11548,12602,200,0.044543429844097995,0.0779510022271715,0.00347220499898314
212,0.012286001,0.010541678,0.01378654,0.006817095,0.02126362,87.51951,124.32164,87.51951,94.19162,133.80609,12602,316,0.12026726057906459,0.025612472160356347,0.003080341863383614
979,0.011610334,0.011807188,0.014084677,0.008765012,0.02173908,98.5699,158.19461,147.82695,98.5699,101.10694,12602,148,0.0779510022271715,0.0378619153674833,0.0029513742491356692
117,0.014295859,0.012858262,0.019083865,0.0077434345,0.027090596,152.81067,223.5461,152.81067,176.64532,165.85815,12602,112,0.01893095768374165,0.15478841870824053,0.0029302930044989854
938,0.011936426,0.010887756,0.0141089475,0.006427069,0.021449566,94.04101,161.33667,116.5948,94.04101,217.10428,12602,341,0.10133630289532293,0.027839643652561245,0.0028211665616738007
783,0.010930293,0.009274268,0.012232334,0.005574616,0.018844452,20.450615,26.409634,20.450615,31.680847,30.100792,12602,516,0.7706013363028953,0.0033407572383073493,0.0025743919921032135
655,0.012720378,0.012987191,0.021646928,0.009537067,0.028267732,163.34277,283.11035,235.57008,192.27649,163.34277,12602,237,0.011135857461024499,0.18708240534521156,0.0020833229993898836
362,0.011726821,0.009023303,0.012910305,0.005633068,0.019637065,45.58248,87.0799,54.11218,45.58248,47.100082,12602,431,0.3585746102449888,0.005567928730512249,0.001996517874415305
615,0.012979848,0.014803425,0.01582626,0.009611769,0.025260411,155.60986,178.01495,155.60986,166.55585,300.68335,12602,126,0.015590200445434297,0.11024498886414254,0.0017187414744966542
46,0.014897836,0.014186357,0.018742256,0.008410649,0.027829308,164.2528,227.94565,168.64226,164.2528,184.78346,12602,100,0.008908685968819599,0.17594654788418707,0.001567452542398103
207,0.011597194,0.009526545,0.013047446,0.0054988503,0.019886825,83.50296,156.72429,83.50296,99.93638,220.27147,12602,413,0.13697104677060132,0.011135857461024499,0.0015252900531247363
